Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
CUTENSORNET,80,14,2,0,64,0,0,0,0,"CUTENSORNET@0.1.0","014fcef47","Merge pull request #1629 from JuliaGPU/tb/jll","2022-10-21 20:41:19 +0200"
CUTENSORNET,116,15,2,0,99,0,0,0,0,"CUTENSORNET@0.1.0","cc10264f9","Upgrade CUTENSORNET to v1.1 (#1639)","2022-10-24 22:50:40 +0200"
cuTensorNet,175,21,2,0,144,0,8,0,0,"cuTensorNet@1.0.0","a70c83e2c","Rename subpackages to conform with NVIDIA's capitalization of things.","2023-02-02 10:47:08 +0100"
cuTensorNet,174,20,2,0,144,0,8,0,0,"cuTensorNet@1.0.2","2ad2de7d1","Support runtime discovery for non-toolkit libraries (CUTENSOR, CUDNN, CUQUANTUM) (#1858)","2023-04-14 03:50:49 -0400"
