Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
YaoBlocks,831,131,302,11,111,27,222,7,20,"YaoBlocks@0.11.10","8440f29e","Merge pull request #303 from QuantumBFS/roger/lib","2021-12-07 15:08:30 -0500"
YaoBlocks,831,131,302,11,111,27,222,6,21,"YaoBlocks@0.11.10","dadbd3b9","fix CI","2021-12-07 19:51:54 -0500"
YaoBlocks,831,131,302,11,111,27,222,9,18,"YaoBlocks@0.11.10","6d965bb1","Merge branch 'master' of https://github.com/QuantumBFS/Yao.jl","2021-12-07 19:52:05 -0500"
YaoBlocks,831,131,302,11,111,27,222,6,21,"YaoBlocks@0.11.10","3137e721","Merge branch 'master' of https://github.com/QuantumBFS/Yao.jl","2021-12-07 20:04:59 -0500"
YaoBlocks,831,131,302,11,111,27,222,8,19,"YaoBlocks@0.11.10","0dabebb0","clean up README","2021-12-07 20:06:47 -0500"
YaoBlocks,831,131,302,11,111,27,222,10,17,"YaoBlocks@0.11.10","4eca4403","split nightly to another action","2021-12-07 20:08:00 -0500"
YaoBlocks,831,131,302,11,111,27,222,9,18,"YaoBlocks@0.11.10","139df27e","temperality rm format PR","2021-12-07 20:08:35 -0500"
YaoBlocks,831,131,302,11,111,27,222,6,21,"YaoBlocks@0.11.10","159a3814","rm old codecov config","2021-12-07 20:09:30 -0500"
YaoBlocks,831,131,302,11,111,27,222,8,19,"YaoBlocks@0.11.10","d4e64294","rm old CI file","2021-12-07 20:09:46 -0500"
YaoBlocks,831,131,302,11,111,27,222,6,21,"YaoBlocks@0.11.10","96dfdb0b","fix doc build","2021-12-07 20:15:50 -0500"
YaoBlocks,831,131,302,11,111,27,222,9,18,"YaoBlocks@0.11.10","feec5dde","polish doc & tutorials move them into the main repo (#311)","2021-12-08 16:14:04 -0500"
YaoBlocks,831,131,302,11,111,27,222,8,19,"YaoBlocks@0.11.10","a05d1d40","Revert ""polish doc & tutorials move them into the main repo (#311)"" (#312)","2021-12-08 16:14:20 -0500"
YaoBlocks,831,131,302,11,111,27,222,7,20,"YaoBlocks@0.11.10","fafccd8d","fix doc build","2021-12-08 16:34:29 -0500"
YaoBlocks,831,131,302,11,111,27,222,9,18,"YaoBlocks@0.11.10","b66cdf2f","Add 'lib/QuAlgorithmZoo/' from commit 'e5d00043fbff5c4bd1207ac60af7ff00707b7559'","2021-12-08 16:54:26 -0500"
YaoBlocks,831,131,302,11,111,27,222,6,21,"YaoBlocks@0.11.10","be971269","don't execute for now","2021-12-08 17:06:43 -0500"
YaoBlocks,831,131,302,11,111,27,222,9,18,"YaoBlocks@0.11.10","89561876","opps, it's an accident merge, remove QuAlgorithm","2021-12-08 17:31:28 -0500"
YaoBlocks,831,131,302,11,111,27,222,10,17,"YaoBlocks@0.11.10","edf32f7a","rm old tutorial folder","2021-12-08 17:34:19 -0500"
YaoBlocks,831,131,302,11,111,27,222,4,23,"YaoBlocks@0.11.10","34c6ff1a","include Yao in the CI","2021-12-19 18:10:38 -0500"
YaoBlocks,831,131,302,11,111,27,222,9,18,"YaoBlocks@0.11.10","b8ceabb5","rm CI on LTS","2021-12-19 18:35:58 -0500"
YaoBlocks,830,131,301,11,111,27,222,5,22,"YaoBlocks@0.11.10","4ac1de0c","Merge branch 'master' of https://github.com/QuantumBFS/Yao.jl","2021-12-19 18:50:47 -0500"
YaoBlocks,830,131,301,11,111,27,222,8,19,"YaoBlocks@0.11.10","13e56dde","Merge branch 'master' of https://github.com/QuantumBFS/Yao.jl","2021-12-19 18:59:10 -0500"
YaoBlocks,830,131,301,11,111,27,222,10,17,"YaoBlocks@0.11.10","ddbd1717","clean up action files","2021-12-19 19:41:56 -0500"
YaoBlocks,830,131,301,11,111,27,222,8,19,"YaoBlocks@0.11.10","8ab20204","rm CONTRIBUTING and use ColPrac","2021-12-19 19:45:11 -0500"
YaoBlocks,830,131,301,11,111,27,222,6,21,"YaoBlocks@0.11.10","a4241b36","Merge branch 'master' of https://github.com/QuantumBFS/Yao.jl","2021-12-19 20:02:16 -0500"
YaoBlocks,830,131,301,11,111,27,222,4,23,"YaoBlocks@0.11.10","13a82c27","Revert ""clean up action files""","2021-12-19 20:04:11 -0500"
YaoBlocks,830,131,301,11,111,27,222,9,18,"YaoBlocks@0.11.10","f264f7d9","rm old workflow files","2021-12-19 20:05:42 -0500"
YaoBlocks,830,131,301,11,111,27,222,8,19,"YaoBlocks@0.11.10","ae20761c","bump version","2022-01-04 21:01:18 -0500"
YaoBlocks,830,131,301,11,111,27,222,7,20,"YaoBlocks@0.11.11","bc0563a7","Merge branch 'master' of https://github.com/QuantumBFS/Yao.jl","2022-01-04 21:01:46 -0500"
YaoBlocks,830,131,301,11,111,27,222,5,22,"YaoBlocks@0.11.11","d46043fb","Update main.jl","2022-01-04 21:28:20 -0500"
YaoBlocks,832,131,303,11,111,27,222,6,21,"YaoBlocks@0.11.11","65955af1","error-measure-better (#325)","2022-01-14 18:49:30 -0500"
YaoBlocks,834,131,305,11,111,27,222,6,21,"YaoBlocks@0.11.11","dcc66a1a","fix no params","2022-01-23 09:26:42 -0500"
YaoBlocks,834,131,305,11,111,27,222,5,22,"YaoBlocks@0.11.11","4e54a218","Docs fixes (#328)","2022-01-25 19:47:23 +0100"
YaoBlocks,834,131,305,11,111,27,222,7,20,"YaoBlocks@0.11.11","ed718885","update ci (#331)","2022-02-10 19:12:33 -0500"
YaoBlocks,833,131,305,11,111,27,221,6,21,"YaoBlocks@0.12.0","b63296d8","bump versions","2022-02-11 21:14:34 -0500"
YaoBlocks,860,133,344,10,120,25,201,7,20,"YaoBlocks@0.12.0","323e3541","rm type parameter N (#336)","2022-02-14 18:08:52 -0500"
YaoBlocks,860,133,344,10,120,25,201,6,21,"YaoBlocks@0.12.0","75183644","bump version to 0.3.0","2022-02-15 05:06:38 -0500"
YaoBlocks,860,133,344,10,120,25,201,7,20,"YaoBlocks@0.12.0","353b3e59","fix YaoAPI version","2022-02-15 05:09:21 -0500"
YaoBlocks,860,133,344,10,120,25,201,8,19,"YaoBlocks@0.12.0","de570b82","fix YaoAPI version in Yao","2022-02-15 05:11:08 -0500"
YaoBlocks,860,133,344,10,120,25,201,7,20,"YaoBlocks@0.12.0","ff04a569","bump version to 0.15.1","2022-03-15 02:26:09 -0400"
YaoBlocks,860,133,344,10,120,25,201,10,17,"YaoBlocks@0.12.1","ebdebf0b","bump version to 0.12.1","2022-03-15 02:26:18 -0400"
YaoBlocks,860,133,344,10,120,25,201,7,20,"YaoBlocks@0.12.1","ca5c4d53","bump version to 0.7.1","2022-03-15 02:26:42 -0400"
YaoBlocks,860,133,344,10,120,25,201,8,19,"YaoBlocks@0.12.1","9214c77a","fix empty chain adjoint (#346)","2022-03-15 12:41:08 -0400"
YaoBlocks,860,133,344,10,120,25,201,3,24,"YaoBlocks@0.12.1","2ffc0e56","fix 349 and 348 (#350)","2022-03-24 10:59:24 -0400"
YaoBlocks,867,133,347,10,120,25,204,6,22,"YaoBlocks@0.12.1","0cb9ec8d","Differentiate scale block (#337)","2022-03-25 09:50:51 -0400"
YaoBlocks,868,133,348,10,120,25,204,3,25,"YaoBlocks@0.12.1","9ef3e439","print qubits over qudits for qubits (#351)","2022-03-25 10:00:50 -0400"
YaoBlocks,868,133,348,10,120,25,204,8,20,"YaoBlocks@0.12.2","6505dc7c","bump version to 0.12.2","2022-03-28 21:46:23 +0000"
YaoBlocks,868,133,348,10,120,25,204,6,22,"YaoBlocks@0.12.2","eabf381f","bump version to 0.7.2","2022-03-28 21:46:42 +0000"
YaoBlocks,868,133,348,10,120,25,204,4,24,"YaoBlocks@0.12.2","f3bc5cb4","most populated bit strings in an array register (#356)","2022-04-13 15:04:43 -0400"
YaoBlocks,868,133,348,10,120,25,204,7,21,"YaoBlocks@0.12.2","c4f06cc2","bump version to 0.8.1","2022-04-13 19:05:37 +0000"
YaoBlocks,868,133,348,10,120,25,204,9,19,"YaoBlocks@0.12.2","1fac6b8d","print qubit (#357)","2022-04-13 16:23:15 -0400"
YaoBlocks,868,133,348,10,120,25,204,7,21,"YaoBlocks@0.12.2","c7bcf3a2","use AdjointRegister instead (#358)","2022-04-13 16:40:08 -0400"
YaoBlocks,933,138,346,10,134,26,250,7,22,"YaoBlocks@0.13.0","d46fa5fe","clean up et by default! (#384)","2022-05-05 17:52:43 -0400"
YaoBlocks,934,138,346,10,135,26,250,5,24,"YaoBlocks@0.13.0","71b965d2","fix generic type (#388)","2022-05-06 16:29:02 -0400"
YaoBlocks,934,138,346,10,135,26,250,8,21,"YaoBlocks@0.13.0","5866042e","mention community call (#391)","2022-05-18 23:13:11 -0400"
YaoBlocks,934,138,346,10,135,26,250,6,23,"YaoBlocks@0.13.0","696f60d6","fix density matrix fidelity (#393)","2022-05-19 16:05:53 -0400"
