Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
YaoArrayRegister,286,8,77,4,36,6,154,0,1,"YaoArrayRegister@0.7.10","8440f29e","Merge pull request #303 from QuantumBFS/roger/lib","2021-12-07 15:08:30 -0500"
YaoArrayRegister,288,8,79,4,36,6,154,0,1,"YaoArrayRegister@0.7.11","bc0563a7","Merge branch 'master' of https://github.com/QuantumBFS/Yao.jl","2022-01-04 21:01:46 -0500"
YaoArrayRegister,311,12,103,4,36,6,149,0,1,"YaoArrayRegister@0.8.0","9d89da7d","remove batch dimension (#334)","2022-02-13 18:30:21 -0500"
YaoArrayRegister,305,12,102,4,36,6,144,0,1,"YaoArrayRegister@0.8.0","323e3541","rm type parameter N (#336)","2022-02-14 18:08:52 -0500"
YaoArrayRegister,307,12,104,4,36,6,144,0,1,"YaoArrayRegister@0.8.0","f3bc5cb4","most populated bit strings in an array register (#356)","2022-04-13 15:04:43 -0400"
YaoArrayRegister,309,12,106,4,36,6,144,0,1,"YaoArrayRegister@0.8.1","1fac6b8d","print qubit (#357)","2022-04-13 16:23:15 -0400"
YaoArrayRegister,359,18,123,5,43,8,161,0,1,"YaoArrayRegister@0.8.2","271f0437","register doc (#372)","2022-04-27 21:05:53 -0400"
YaoArrayRegister,362,18,121,5,46,8,163,0,1,"YaoArrayRegister@0.8.2","4b72e43f","Merge branch 'master' of https://github.com/QuantumBFS/Yao.jl","2022-04-28 23:06:25 -0400"
YaoArrayRegister,368,17,125,5,49,8,163,0,1,"YaoArrayRegister@0.8.2","058a156f","Qudits instructions (#379)","2022-05-05 00:05:45 -0400"
YaoArrayRegister,369,17,126,5,49,8,163,0,1,"YaoArrayRegister@0.9.0","696f60d6","fix density matrix fidelity (#393)","2022-05-19 16:05:53 -0400"
YaoArrayRegister,404,26,131,5,55,8,178,0,1,"YaoArrayRegister@0.9.0","935f7a10","Density matrix implementation (#394)","2022-05-30 15:16:25 -0400"
YaoArrayRegister,402,26,129,5,56,8,177,0,1,"YaoArrayRegister@0.9.1","c4057d39","safely remove qudits from a register (#420)","2022-08-17 17:07:02 +0800"
YaoArrayRegister,402,26,136,5,58,8,168,0,1,"YaoArrayRegister@0.9.2","d1153d60","fix warnings of unused type params (#433)","2022-10-21 17:41:24 -0400"
YaoArrayRegister,414,26,140,9,58,8,172,0,1,"YaoArrayRegister@0.9.3","c149e821","More work on basic error channels (#455)","2023-03-01 19:01:53 +0000"
YaoArrayRegister,433,27,150,9,65,9,172,0,1,"YaoArrayRegister@0.9.4","b53c74c2","More density matrix support (#461)","2023-03-08 17:45:08 +0000"
