Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
CUSTATEVEC,57,11,5,0,41,0,0,0,0,"CUSTATEVEC@0.1.0","014fcef47","Merge pull request #1629 from JuliaGPU/tb/jll","2022-10-21 20:41:19 +0200"
CUSTATEVEC,71,12,5,0,54,0,0,0,0,"CUSTATEVEC@0.1.0","bd2555714","Merge pull request #1638 from JuliaGPU/tb/custatevec","2022-10-24 07:52:25 +0200"
CUSTATEVEC,71,10,5,0,54,0,0,2,0,"CUSTATEVEC@0.1.0","52a16d6b2","Add NEWS.md for information on recent or upcoming changes.","2022-10-24 12:10:47 +0200"
CUSTATEVEC,71,12,5,0,54,0,0,0,0,"CUSTATEVEC@0.1.0","cc10264f9","Upgrade CUTENSORNET to v1.1 (#1639)","2022-10-24 22:50:40 +0200"
CUSTATEVEC,118,13,5,0,100,0,0,0,0,"CUSTATEVEC@0.1.0","f9045bdf1","Update autogenerated headers (#1649)","2022-10-26 13:21:03 +0200"
CUSTATEVEC,136,16,18,0,100,0,2,0,0,"CUSTATEVEC@0.1.0","a01cd77de","Bump CUQUANTUM libraries (#1688)","2022-12-20 12:47:46 +0100"
CUSTATEVEC,136,13,18,0,100,0,2,3,0,"CUSTATEVEC@0.1.0","6f999e11e","Simplify CUBLAS and CUSPARSE wrappers, reducing code generated. (#1730)","2023-01-17 19:49:53 +0100"
CUSTATEVEC,136,16,18,0,100,0,2,0,0,"CUSTATEVEC@0.1.0","1eecaa269","Add Julia 1.9 CI. (#1731)","2023-01-18 15:09:56 +0100"
cuStateVec,136,16,18,0,100,0,2,0,0,"cuStateVec@1.0.0","a70c83e2c","Rename subpackages to conform with NVIDIA's capitalization of things.","2023-02-02 10:47:08 +0100"
cuStateVec,135,15,18,0,100,0,2,0,0,"cuStateVec@1.0.2","2ad2de7d1","Support runtime discovery for non-toolkit libraries (CUTENSOR, CUDNN, CUQUANTUM) (#1858)","2023-04-14 03:50:49 -0400"
