Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
Yao,962,139,379,13,94,32,284,3,18,"Yao@0.4.0-DEV","279f5de2","Port component packages & add deprecations & logo updates (#165)","2019-04-04 16:55:37 +0800"
Yao,962,139,379,13,94,32,284,1,20,"Yao@0.4.0-DEV","100f4af3","fix deps","2019-04-18 14:33:27 +0800"
Yao,953,59,432,8,92,42,309,3,8,"Yao@0.4.0","9f050d2c","add compat","2019-04-28 20:53:07 +0800"
Yao,966,61,444,7,92,42,309,3,8,"Yao@0.4.0","e6fbc23d","merge master","2019-04-28 20:53:26 +0800"
Yao,966,61,444,7,92,42,309,1,10,"Yao@0.4.2","2ab1fb2d","Update Project.toml","2019-05-04 17:28:37 +0800"
Yao,966,61,444,7,92,42,309,3,8,"Yao@0.4.2","e5fe6683","Merge pull request #190 from QuantumBFS/roger/update-readme","2019-05-05 21:12:48 +0800"
Yao,966,61,444,7,92,42,309,4,7,"Yao@0.4.2","2091554f","Update README.md","2019-05-17 12:56:04 +0800"
Yao,966,61,444,7,92,42,309,2,9,"Yao@0.4.2","34c1a382","lose compat","2019-05-19 02:05:09 -0400"
Yao,949,124,367,7,89,37,314,2,9,"Yao@0.4.3","7e734134","bump version","2019-05-27 14:11:33 -0400"
Yao,949,124,367,7,89,37,314,3,8,"Yao@0.5.0","22358043","bump version","2019-05-29 21:34:30 -0400"
Yao,949,124,367,7,89,37,314,4,7,"Yao@0.5.0","92d8a8ed","polish README (#195)","2019-06-08 21:25:06 -0400"
Yao,949,124,367,7,89,37,314,3,8,"Yao@0.5.0","d83fc7b8","add benchmarks to documentation (#196)","2019-06-09 20:02:53 -0400"
Yao,949,124,367,7,89,37,314,2,9,"Yao@0.5.0","cc8f44cb","fix typo","2019-06-20 19:10:27 -0400"
Yao,949,124,367,7,89,37,314,4,7,"Yao@0.5.0","967cc0c9","add new NEW and HISTORY","2019-06-29 17:02:34 -0400"
Yao,949,124,367,7,89,37,314,2,9,"Yao@0.5.0","ceac32b9","update README & add CONTRIBUTING","2019-06-29 19:22:11 -0400"
Yao,956,134,347,7,88,37,332,1,10,"Yao@0.6.0","debe07c6","Update Project.toml","2019-08-28 16:51:14 -0400"
Yao,956,134,347,7,88,37,332,4,7,"Yao@0.5.1","d4ecc132","fix YaoArrayRegister v1.2 compitilibity issue","2019-08-29 10:31:24 +0800"
Yao,956,134,347,7,88,37,332,2,9,"Yao@0.5.1","16f936b3","Merge branch 'master' of github.com:QuantumBFS/Yao.jl","2019-08-29 10:31:39 +0800"
Yao,956,134,347,7,88,37,332,4,7,"Yao@0.5.1","1313ba6d","fix YaoArrayRegister v1.2 compitilibity issue","2019-08-29 10:32:24 +0800"
Yao,956,134,347,7,88,37,332,2,9,"Yao@0.5.1","e60f49a3","update README","2019-09-01 18:09:24 +0800"
Yao,981,135,362,7,91,37,338,3,8,"Yao@0.6.0","def23b47","include manifest, bump versions","2019-10-12 16:50:07 -0400"
Yao,981,135,362,7,91,37,338,4,7,"Yao@0.6.0","a0720681","add YaoSym","2019-11-02 19:36:09 -0400"
Yao,1016,147,362,11,93,38,354,3,8,"Yao@0.6.0","80d320a8","reexport YaoSym","2019-11-02 23:51:46 -0400"
Yao,1016,147,362,11,93,38,354,4,7,"Yao@0.6.0","2f2d00b2","Merge branch 'master' of https://github.com/QuantumBFS/Yao.jl","2019-11-02 23:51:54 -0400"
